anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24;areas
0.117;0.179;0.271;0.294;0.331;0.188;0.14;0.173;0.26;0.249;0.159;0.156;0.241;0.107;0.236;0.239;0.224;0.217;0.252;0.22;0.19;0.19;0.316;0.323;Computer Science (miscellaneous)
0.117;0.179;0.271;0.294;0.331;0.188;0.14;0.173;0.26;0.249;0.159;0.156;0.241;0.107;0.236;0.239;0.224;0.217;0.252;0.22;0.19;0.19;0.316;0.323;Theoretical Computer Science
2.56;2.067;2.053;2.579;3.19;1.943;2.01;1.636;1.963;2.065;1.932;2.155;2.132;2.377;2.358;1.922;1.853;1.751;1.623;1.717;1.585;1.421;1.233;1.043;Applied Mathematics
2.56;2.067;2.053;2.579;3.19;1.943;2.01;1.636;1.963;2.065;1.932;2.155;2.132;2.377;2.358;1.922;1.853;1.751;1.623;1.717;1.585;1.421;1.233;1.043;Engineering (miscellaneous)
2.56;2.067;2.053;2.579;3.19;1.943;2.01;1.636;1.963;2.065;1.932;2.155;2.132;2.377;2.358;1.922;1.853;1.751;1.623;1.717;1.585;1.421;1.233;1.043;Numerical Analysis
0.78;0.63;0.639;0.781;0.828;0.653;0.669;0.622;0.711;0.845;0.682;0.67;0.584;0.551;0.67;0.557;0.752;0.587;0.568;0.674;0.715;0.761;0.689;0.601;Multidisciplinary
0.78;0.63;0.639;0.781;0.828;0.653;0.669;0.622;0.711;0.845;0.682;0.67;0.584;0.551;0.67;0.557;0.752;0.587;0.568;0.674;0.715;0.761;0.689;0.601;Applied Mathematics
0.78;0.63;0.639;0.781;0.828;0.653;0.669;0.622;0.711;0.845;0.682;0.67;0.584;0.551;0.67;0.557;0.752;0.587;0.568;0.674;0.715;0.761;0.689;0.601;Engineering (miscellaneous)
0.78;0.63;0.639;0.781;0.828;0.653;0.669;0.622;0.711;0.845;0.682;0.67;0.584;0.551;0.67;0.557;0.752;0.587;0.568;0.674;0.715;0.761;0.689;0.601;Modeling and Simulation
0.269;0.315;0.359;0.337;0.466;0.36;0.333;0.352;0.365;0.452;0.487;0.43;0.371;0.325;0.469;0.475;0.481;0.425;0.409;0.386;0.299;0.416;0.324;0.315;Mathematical Physics
0.269;0.315;0.359;0.337;0.466;0.36;0.333;0.352;0.365;0.452;0.487;0.43;0.371;0.325;0.469;0.475;0.481;0.425;0.409;0.386;0.299;0.416;0.324;0.315;Statistical and Nonlinear Physics
0.29;0.239;0.307;0.449;0.238;0.269;0.483;0.635;0.508;0.57;0.404;0.293;0.455;0.545;0.46;0.624;0.758;0.923;1.665;0.855;0.564;0.482;0.72;0.561;Information Systems
0.29;0.239;0.307;0.449;0.238;0.269;0.483;0.635;0.508;0.57;0.404;0.293;0.455;0.545;0.46;0.624;0.758;0.923;1.665;0.855;0.564;0.482;0.72;0.561;Modeling and Simulation
0.29;0.239;0.307;0.449;0.238;0.269;0.483;0.635;0.508;0.57;0.404;0.293;0.455;0.545;0.46;0.624;0.758;0.923;1.665;0.855;0.564;0.482;0.72;0.561;Computer Science Applications
0.29;0.239;0.307;0.449;0.238;0.269;0.483;0.635;0.508;0.57;0.404;0.293;0.455;0.545;0.46;0.624;0.758;0.923;1.665;0.855;0.564;0.482;0.72;0.561;Control and Systems Engineering
0.29;0.239;0.307;0.449;0.238;0.269;0.483;0.635;0.508;0.57;0.404;0.293;0.455;0.545;0.46;0.624;0.758;0.923;1.665;0.855;0.564;0.482;0.72;0.561;Theoretical Computer Science
0.577;0.683;1.345;1.582;1.706;1.114;1.031;1.352;1.612;1.33;1.355;1.314;1.24;1.369;1.141;1.036;1.046;0.638;0.545;0.535;0.745;0.573;0.861;0.726;Computer Networks and Communications
0.577;0.683;1.345;1.582;1.706;1.114;1.031;1.352;1.612;1.33;1.355;1.314;1.24;1.369;1.141;1.036;1.046;0.638;0.545;0.535;0.745;0.573;0.861;0.726;Theoretical Computer Science
0.577;0.683;1.345;1.582;1.706;1.114;1.031;1.352;1.612;1.33;1.355;1.314;1.24;1.369;1.141;1.036;1.046;0.638;0.545;0.535;0.745;0.573;0.861;0.726;Applied Mathematics
0.577;0.683;1.345;1.582;1.706;1.114;1.031;1.352;1.612;1.33;1.355;1.314;1.24;1.369;1.141;1.036;1.046;0.638;0.545;0.535;0.745;0.573;0.861;0.726;Computational Theory and Mathematics
0.758;0.599;0.493;0.827;0.709;0.903;0.685;0.736;0.558;0.806;0.613;0.791;0.761;0.925;0.839;1.02;1.455;1.069;0.76;0.582;0.7;0.67;0.598;0.607;Earth and Planetary Sciences (miscellaneous)
0.758;0.599;0.493;0.827;0.709;0.903;0.685;0.736;0.558;0.806;0.613;0.791;0.761;0.925;0.839;1.02;1.455;1.069;0.76;0.582;0.7;0.67;0.598;0.607;Mathematics (miscellaneous)
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Signal Processing
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Applied Mathematics
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Artificial Intelligence
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Computer Science Applications
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Hardware and Architecture
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Information Systems
0.326;0.722;0.798;1.142;0.323;0.271;0.322;0.175;0.378;0.248;0.253;0.712;0.579;0.482;0.81;0.432;0.708;0.424;0.494;0.507;0.388;0.337;0.452;0.516;Software
0.586;0.443;0.478;0.407;0.373;0.372;0.275;0.319;0.369;0.497;0.584;0.669;0.735;0.84;0.758;0.974;1.042;0.778;0.763;0.767;0.791;0.591;0.741;1.105;Theoretical Computer Science
0.586;0.443;0.478;0.407;0.373;0.372;0.275;0.319;0.369;0.497;0.584;0.669;0.735;0.84;0.758;0.974;1.042;0.778;0.763;0.767;0.791;0.591;0.741;1.105;Computer Science Applications
0.586;0.443;0.478;0.407;0.373;0.372;0.275;0.319;0.369;0.497;0.584;0.669;0.735;0.84;0.758;0.974;1.042;0.778;0.763;0.767;0.791;0.591;0.741;1.105;Control and Systems Engineering
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Fluid Flow and Transfer Processes
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Mechanics of Materials
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Computational Mechanics
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Information Systems
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Mathematical Physics
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Physical and Theoretical Chemistry
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Statistical and Nonlinear Physics
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262;Statistics and Probability
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Control and Systems Engineering
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Computer Networks and Communications
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Computer Science Applications
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Control and Optimization
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Electrical and Electronic Engineering
0.244;0.295;0.668;0.533;0.895;0.482;0.568;0.535;0.475;0.536;0.463;0.455;0.517;0.362;0.504;0.448;0.407;0.392;0.257;0.431;0.45;0.442;0.656;0.666;Modeling and Simulation
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Philosophy
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Agricultural and Biological Sciences (miscellaneous)
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Biochemistry, Genetics and Molecular Biology (miscellaneous)
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Environmental Science (miscellaneous)
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Medicine (miscellaneous)
0.206;0.285;0.199;0.226;0.223;0.298;0.403;0.345;0.345;0.299;0.392;0.381;0.331;0.322;0.481;0.305;0.405;0.381;0.284;0.252;0.24;0.256;0.264;0.279;Applied Mathematics
0.35;1.032;0.58;0.461;0.806;0.617;0.54;0.77;0.594;0.47;0.532;0.524;0.453;0.572;0.665;0.584;0.363;0.416;0.418;0.466;0.403;0.417;0.299;0.347;Engineering (miscellaneous)
0.35;1.032;0.58;0.461;0.806;0.617;0.54;0.77;0.594;0.47;0.532;0.524;0.453;0.572;0.665;0.584;0.363;0.416;0.418;0.466;0.403;0.417;0.299;0.347;Mathematics (miscellaneous)
0.711;0.462;0.422;0.68;0.559;0.654;0.894;0.941;0.876;0.925;0.762;0.844;0.682;0.919;0.661;0.904;0.678;0.792;0.676;0.628;0.555;0.531;0.529;0.584;Applied Mathematics
0.711;0.462;0.422;0.68;0.559;0.654;0.894;0.941;0.876;0.925;0.762;0.844;0.682;0.919;0.661;0.904;0.678;0.792;0.676;0.628;0.555;0.531;0.529;0.584;Computational Mathematics
